pcc,provincia,dpase14,dpac14,dpadc14,dpap14,dpan14,dde_los_trabajadores14,dde_los_transportistas14,dfa14,dpin14,dpln14,dml14,dpng14,dnps14,dppid14,dppid_puntarenas14,dppn14,dprc14,dprn14,dpusc14,dverde14,dviviapuntarenas14
508,5,159,1588,0,0,115,33,0,1451,23,3126,762,30,0,0,0,515,425,217,1310,0,0
509,5,83,330,0,0,5,27,0,1103,12,2537,338,40,0,0,0,197,240,225,322,0,0
510,5,66,351,0,0,157,30,0,1124,10,2024,813,9,0,0,0,30,496,111,735,0,0
511,5,144,394,0,0,3,22,0,410,7,1911,322,96,0,0,0,39,202,62,267,0,0
601,6,1209,5693,0,0,288,364,0,7800,1055,14609,5002,154,0,0,63,456,1243,1393,8030,0,912
602,6,351,1945,0,0,102,58,0,2203,81,4393,1699,52,0,0,82,151,340,340,1870,0,191
603,6,614,1638,0,0,49,97,0,2079,89,4572,1367,1570,0,0,256,121,511,655,2220,0,565
604,6,190,1028,0,0,24,20,0,1154,152,1992,447,17,0,0,15,59,164,461,660,0,104
605,6,703,1341,0,0,57,80,0,1655,71,2713,1253,52,0,0,285,242,401,536,964,0,392
606,6,1955,759,0,0,61,54,0,712,76,2054,949,34,0,0,35,51,375,598,1870,0,146
607,6,307,1392,0,0,193,94,0,2606,67,3345,680,65,0,0,521,123,328,978,1985,0,1265
608,6,266,2404,0,0,50,72,0,2375,42,4760,505,120,0,0,24,100,573,686,2740,0,423
609,6,368,359,0,0,21,36,0,242,29,1704,1133,15,0,0,21,36,201,201,1726,0,143
610,6,292,3588,0,0,80,113,0,2668,57,4201,878,39,0,0,69,93,1168,789,1854,0,225
611,6,71,631,0,0,249,29,0,481,7,1825,643,22,0,0,5,30,56,163,892,0,51
701,7,960,2920,0,0,288,266,0,5305,194,9956,3928,168,0,0,0,333,3202,1257,6033,0,0
702,7,2408,6641,0,0,2948,631,0,8281,162,12265,5327,487,0,0,0,518,6519,1432,2998,0,0
703,7,718,2272,0,0,323,148,0,3602,40,6557,1782,254,0,0,0,157,2404,730,1797,0,0
704,7,115,528,0,0,15,47,0,1559,26,2075,845,29,0,0,0,64,1031,147,2431,0,0
705,7,272,677,0,0,21,49,0,1488,61,2630,1535,87,0,0,0,59,2467,250,1564,0,0
706,7,653,1743,0,0,752,117,0,2274,52,3235,1590,198,0,0,0,139,2231,741,1350,0,0
