ID,Ubicacion,Tipo de habitacion,Tipo de propiedad,Capacidad,Dormitorios,Banos,Precio
1,San Jose, Habitacion privada , Apartamento ,1,1,1,13
2,Brasilito, Habitacion privada , Otros ,2,1,1,64
3,Cobano, Casa/apto entero , Casa ,3,1,1,70
4,Moravia, Habitacion privada , Casa ,1,1,1,13
5,Quesada, Casa/apto entero , Casa ,3,1,1,71
6,Cartago, Habitacion privada , Casa ,3,1,1,16
7,Heredia, Habitacion privada , Casa ,1,1,1,10
8,Tamarindo, Casa/apto entero , Apartamento ,6,2,2.5,65
9,Playa Junquillal, Casa/apto entero , Casa ,12,4,3.5,303
10,Playa Conchal, Casa/apto entero , Apartamento ,6,3,2,163
11,Samara, Habitacion privada , Casa ,4,1,1,42
12,Paso Canoas, Habitacion privada , Casa ,4,1,3,19
13,Pez Vela Guanacaste Costa Rica, Casa/apto entero , Villa ,10,4,3.5,256
14,Naranjo de Alajuela, Habitacion privada , B&B ,2,1,1,47
15,Samara, Casa/apto entero , Casa ,1,0,1,19
16,Garabito/jaco, Casa/apto entero , Bungalow ,1,2,1,56
17,Santiago de Puriscal, Casa/apto entero , Caba̱a ,2,1,1,37
18,Puerto Viejo, Casa/apto entero , Otros ,2,1,1,28
19,Puntarenas, Casa/apto entero , Apartamento ,6,3,2.5,545
20,El Guarco, Casa/apto entero , Casa ,10,1,1,37
21,El Guarco, Casa/apto entero , Casa ,10,1,1,37
22,Cahuita, Casa/apto entero , Casa ,2,0,1,33
23,El Guarco, Casa/apto entero , Casa ,10,1,1,37
24,Cahuita, Casa/apto entero , Casa ,2,0,1,33
25,El Guarco, Casa/apto entero , Casa ,10,1,1,37
26,Cahuita, Casa/apto entero , Casa ,2,0,1,33
27,Perez Zeledon, Casa/apto entero , Casa ,5,2,1.5,65
28,Rivas, Casa/apto entero , Apartamento ,2,1,1,48
29,Limon, Casa/apto entero , Casa ,2,1,1,75
30,marbella, Casa/apto entero , Casa ,6,2,2,75
31,Dominical Puntarenas Costa Rica, Habitacion privada , B&B ,2,1,1,45
32,Manuel Antonio, Habitacion privada , B&B ,2,1,1,84
33,Dominical Puntarenas Costa Rica, Habitacion privada , B&B ,3,1,1,68
34,Uvita, Habitacion privada , B&B ,2,1,1,70
35,Savegre, Casa/apto entero , Apartamento ,4,0,1,94
36,Uvita, Habitacion privada , B&B ,2,1,1,70
37,San Rafael Abajo, Habitacion privada , B&B ,2,1,1,42
38,Quepos Colinas district, Casa/apto entero , Casa ,6,2,2,127
39,San Isidro de El General, Casa/apto entero , Casa ,5,2,1,47
40,Parrita, Casa/apto entero , Casa ,4,2,2,56
41,Golfito, Habitacion privada , B&B ,2,1,3,35
42,Potrero, Casa/apto entero , Apartamento ,4,2,2,80
43,Manuel Antonio, Casa/apto entero , Casa ,2,1,1,25
44,Cabuya, Casa/apto entero , Casa ,6,3,1,75
45,Cahuita, Casa/apto entero , Casa ,2,1,1,30
46,Puerto Viejo, Casa/apto entero , Casa ,5,2,1,89
47,La Fortuna, Habitacion privada , Caba̱a ,4,1,1,64
48,Nosara, Casa/apto entero , Casa ,6,2,2,144
49,Puntarenas, Casa/apto entero , Villa ,4,2,2.5,153
50,Puerto Viejo de Talamanca, Casa/apto entero , Casa ,2,1,1,60
51,Samara, Habitacion privada , Casa ,2,1,1,28
52,tamarindo, Habitacion privada , B&B ,2,1,1,93
53,Puerto Jimenez, Casa/apto entero , Casa ,5,2,1,87
54,Monteverde, Casa/apto entero , Casa ,2,1,1,24
55,Playa Flamingo, Habitacion privada , B&B ,3,1,1,125
56,Turrialba, Casa/apto entero , Caba̱a ,2,0,1,35
57,Cahuita, Casa/apto entero , Casa ,5,2,1.5,54
58,Jaco, Casa/apto entero , Apartamento ,6,3,2,139
59,, Casa/apto entero , Caba̱a ,5,1,1,103
60,Cocles, Casa/apto entero , Apartamento ,2,1,1,64
61,Coco, Casa/apto entero , Apartamento ,2,2,2,126
62,Cabuya, Casa/apto entero , Casa ,4,2,2,182
63,Playa Hermosa, Casa/apto entero , Casa ,6,3,2,139
64,Playas Del Coco, Casa/apto entero , Apartamento ,4,2,2,89
65,Puntarenas, Casa/apto entero , Casa ,16,4,2,373
66,Puerto Carrillo, Casa/apto entero , Casa ,6,3,4,233
67,Punta Uva, Casa/apto entero , Villa ,8,3,3,233
68,Jaco Beach, Casa/apto entero , Apartamento ,6,2,2,154
69,Los Pargos, Casa/apto entero , Casa ,8,3,2,140
70,Herradura, Casa/apto entero , Apartamento ,6,3,2,303
71,Playa del Coco, Casa/apto entero , Apartamento ,4,0,1,55
72,Tambor, Casa/apto entero , Apartamento ,3,1,1,89
73,Mal Pais Santa Teresa, Casa/apto entero , Casa ,4,2,1,326
74,Costa Rica, Casa/apto entero , Villa ,4,2,1,167
75,Liberia, Casa/apto entero , Villa ,8,2,2,186
76,La Cruz, Casa/apto entero , Caba̱a ,10,4,3,55
77,Esterillos Centro, Casa/apto entero , Casa ,4,2,1,93
78,Esterillos, Casa/apto entero , Casa ,5,3,2.5,140
79,Santa Ana, Casa/apto entero , Apartamento ,5,2,2.5,93
80,Ciudad Cortes, Casa/apto entero , Villa ,1,1,1,37
81,Ojochal, Casa/apto entero , Casa ,2,1,1,28
82,DominicalPuntarenas CR, Casa/apto entero , Casa ,11,5,3,303
83,Pavones, Casa/apto entero , Apartamento ,2,0,1,40
84,Escazu, Casa/apto entero , Loft ,3,1,1.5,158
85,San Mateo, Casa/apto entero , Caba̱a ,2,1,1,70
86,Esterillos Oeste, Casa/apto entero , Casa ,8,4,3.5,275
87,Pelon de la Altura, Casa/apto entero , Casa ,7,2,2,93
88,Jaco, Casa/apto entero , Villa ,5,1,2,70
89,Jaco, Casa/apto entero , Casa ,2,1,1,28
90,Playa Brasilito Guanacste, Casa/apto entero , B&B ,6,4,3,15
91,Jaco, Casa/apto entero , Apartamento ,4,2,1,103
92,Punta Islita, Casa/apto entero , Casa ,4,2,2,242
93,Dominical, Casa/apto entero , Casa en un arbol ,3,1,1,61
94,Tarbaca, Casa/apto entero , Caba̱a ,4,1,1.5,121
95,Dominicalito, Casa/apto entero , Casa ,4,1,2.5,186
96,Puerto Viejo de Talamanca, Casa/apto entero , Bungalow ,2,0,1,28
97,El Jobo, Casa/apto entero , Casa ,10,5,2,186
98,Cahuita, Casa/apto entero , Casa ,3,2,2,68
99,Playa Flamingo, Casa/apto entero , Casa ,8,3,3,140
100,Dominical, Casa/apto entero , Casa ,4,2,2,117
101,Uruca, Casa/apto entero , Apartamento ,6,2,2,103
102,Playa Hermosa, Casa/apto entero , Casa ,10,5,5,373
103,Puerto Viejo de Talamanca, Casa/apto entero , Apartamento ,2,1,1.5,42
104,Canton de Aguirre Puntarenas, Casa/apto entero , Apartamento ,2,1,1,93
105,Heredia, Casa/apto entero , Casa ,8,4,5.5,368
106,Jaco, Casa/apto entero , Casa ,16,9,5,18
107,Santa Teresa Beach, Casa/apto entero , Casa ,12,5,4.5,429
108,Monteverde, Casa/apto entero , Casa ,5,3,2,75
109,Puerto Viejo de Talamanca, Casa/apto entero , Casa ,4,2,1,79
110,Playa del Coco, Casa/apto entero , Apartamento ,3,0,1,47
111,San Antonio de Escazu, Casa/apto entero , Casa ,2,0,1,37
112,San Jose, Casa/apto entero , Loft ,2,1,1.5,158
113,Guanacaste Costa Rica, Casa/apto entero , Villa ,10,5,4,948
114,Jaco, Casa/apto entero , Casa ,4,1,1,37
115,Cahuita, Casa/apto entero , Casa ,6,2,2,54
116,Playa Hermosa, Casa/apto entero , Villa ,6,1,1,138
117,Cahuita, Casa/apto entero , Casa ,5,3,2,70
118,Escazu, Casa/apto entero , Apartamento ,2,1,1,95
119,Bajo Bonitas, Casa/apto entero , Otros ,8,2,2,77
120,Playa Hermosa, Casa/apto entero , Villa ,8,4,4,163
121,Ojochal, Casa/apto entero , Casa ,8,4,4.5,373
122,Playa Junquillal Santa Cruz, Casa/apto entero , Apartamento ,6,2,1,85
123,Platanillo, Casa/apto entero , Casa ,4,0,1,112
124,La Fortuna, Casa/apto entero , Apartamento ,4,2,1,46
125,Heredia, Casa/apto entero , Casa ,3,2,1,699
126,Hernandez Guanacaste Costa Rica, Casa/apto entero , Casa ,6,2,2.5,289
127,Uvita, Casa/apto entero , Casa ,2,1,1,98
128,Platanillo, Casa/apto entero , Casa ,8,3,2,135
129,San carlos, Casa/apto entero , Villa ,10,5,6,233
130,Santa Ana, Casa/apto entero , Apartamento ,3,2,1,65
131,Guanacaste Costa Rica, Casa/apto entero , Villa ,10,5,6,632
132,Puerto Viejo de Talamanca, Casa/apto entero , Caba̱a ,2,0,1,24
133,Dominical Costa Rica, Casa/apto entero , Villa ,14,6,8,870
134,Costa Esterillos, Casa/apto entero , Casa ,8,3,3.5,229
135,Manuel Antonio, Casa/apto entero , Villa ,8,2,2.5,461
136,San Jose, Casa/apto entero , Apartamento ,4,2,2,93
137,Agujitas de Drake, Casa/apto entero , Casa ,8,4,2,224
138,San Pedro, Casa/apto entero , Apartamento ,4,2,1.5,53
139,Coco, Casa/apto entero , Apartamento ,2,1,1,61
140,Guanacaste Costa Rica, Casa/apto entero , Villa ,16,8,8,2317
141,Del Coco Beach, Casa/apto entero , Apartamento ,2,1,1,75
142,Coco, Casa/apto entero , Apartamento ,2,0,1,34
143,Playa Grande, Casa/apto entero , Casa ,6,3,2.5,140
144,Coco, Casa/apto entero , Apartamento ,2,0,1,34
145,Playa Grande, Casa/apto entero , Casa ,6,3,2.5,140
146,Playa Hermosa, Casa/apto entero , Villa ,6,2,2,168
147,Tamarindo, Casa/apto entero , Casa ,12,5,5.5,927
148,Desmonte, Casa/apto entero , Casa ,4,2,1,37
149,Ojochal, Casa/apto entero , Casa ,3,1,1,33
150,Uvita, Casa/apto entero , Apartamento ,5,2,2,140
151,La Fortuna, Casa/apto entero , Casa ,8,3,3,168
152,, Casa/apto entero , Casa ,6,2,2,232
153,Coco, Casa/apto entero , Apartamento ,2,0,1,34
154,Playa Grande, Casa/apto entero , Casa ,6,3,2.5,140
155,Playa Hermosa, Casa/apto entero , Villa ,6,2,2,168
156,Tamarindo, Casa/apto entero , Casa ,12,5,5.5,927
157,Desmonte, Casa/apto entero , Casa ,4,2,1,37
158,Ojochal, Casa/apto entero , Casa ,3,1,1,33
159,Uvita, Casa/apto entero , Apartamento ,5,2,2,140
160,La Fortuna, Casa/apto entero , Casa ,8,3,3,168
161,, Casa/apto entero , Casa ,6,2,2,232
162,Coco, Casa/apto entero , Apartamento ,2,0,1,34
163,Playa Grande, Casa/apto entero , Casa ,6,3,2.5,140
164,Playa Hermosa, Casa/apto entero , Villa ,6,2,2,168
165,Tamarindo, Casa/apto entero , Casa ,12,5,5.5,927
166,Desmonte, Casa/apto entero , Casa ,4,2,1,37
167,Ojochal, Casa/apto entero , Casa ,3,1,1,33
168,Uvita, Casa/apto entero , Apartamento ,5,2,2,140
169,La Fortuna, Casa/apto entero , Casa ,8,3,3,168
170,, Casa/apto entero , Casa ,6,2,2,232
171,Coco beach, Habitacion compartida , Otros ,2,1,1,9
172,Jaco, Habitacion compartida , B&B ,1,1,4,13
173,Playa Guiones, Habitacion compartida , B&B ,1,1,3,15
174,Grecia, Habitacion compartida , Dormitorio compartido ,4,1,2,11
175,Puerto Viejo de Sarapiqui, Habitacion compartida , Dormitorio compartido ,5,1,5,11
176,Tarcoles, Habitacion privada , B&B ,4,1,1,84
177,Monteverde, Habitacion privada , B&B ,4,1,1,79
178,Nuevo Arenal, Habitacion privada , Casa ,2,1,1,37
179,Cartago, Habitacion privada , Casa ,1,1,1,23
180,Alajuela, Habitacion privada , B&B ,3,1,1,37
181,Tortuguero, Habitacion privada , Otros ,5,1,1,39
182,San Rafael, Habitacion privada , Casa ,1,1,1,19
183,Sabanilla, Habitacion privada , B&B ,2,1,1,47
184,Bijagua, Habitacion privada , B&B ,4,1,1,92
185,Santo Domingo, Habitacion privada , Casa ,2,1,2,19
186,El Castillo, Habitacion privada , Tienda de campa̱a ,2,1,0,35
187,Golfito, Habitacion privada , B&B ,8,1,3.5,35
188,Orosi, Habitacion privada , B&B ,2,1,1,112
189,Playa Santa Teresa, Habitacion privada , Casa ,7,1,2,466
190,Playa negra, Habitacion privada , Casa ,2,1,2,56
191,Santa Teresa, Habitacion privada , Villa ,2,1,1,163
192,Guadalupe, Habitacion privada , Apartamento ,1,1,1,19
193,Villareal, Habitacion privada , Casa ,2,1,1,26
194,San Francisco, Habitacion privada , Casa ,2,1,1,37
195,Bejuco, Habitacion privada , B&B ,2,1,1,135
196,Desamparados, Habitacion privada , Apartamento ,2,1,1,27
197,Ca_as, Habitacion privada , Dormitorio compartido ,1,1,,48
198,guanacaste, Habitacion privada , Casa ,8,1,2,280
199,Trinidad de Moravia, Habitacion privada , B&B ,1,1,1,28
200,San Isidro, Habitacion privada , Casa ,2,1,1,47
201,Nicoya, Habitacion privada , Caba̱a ,4,1,1,19
202,Bagaces, Habitacion privada , Apartamento ,3,1,0,36
203,barra de Pacuare, Habitacion privada , Caba̱a ,2,1,1,18
204,Cartago Costa Rica, Habitacion privada , Caba̱a ,2,1,1,65
205,Puerto Viejo de Talamanca, Habitacion privada , Bungalow ,2,1,1.5,83
206,Belen, Habitacion privada , Casa ,1,1,1,23
207,Bahia Ballena, Habitacion privada , Casa ,2,1,1,56
208,manuel Antonio, Habitacion privada , B&B ,2,1,1,75
209,Playa Panama, Habitacion privada , Villa ,2,1,6.5,163
210,, Habitacion privada , Apartamento ,2,1,1,28
211,Esterillos Este, Habitacion privada , B&B ,4,1,1,92
212,San Pedro, Habitacion privada , Apartamento ,2,1,1,26
213,Playa del Carmen Puntarenas, Habitacion privada , B&B ,4,1,1,54
214,San Isidro de El General, Habitacion privada , Casa ,4,1,1,33
215,Puerto Viejo de Talamanca, Habitacion privada , Caba̱a ,2,1,1,14
216,La Fortuna, Habitacion privada , Casa ,3,1,1,14
217,Samara, Habitacion privada , Apartamento ,2,1,1,103
218,Coco beach, Habitacion privada , Casa ,1,1,1.5,19
219,Monteverde, Habitacion privada , B&B ,4,1,1,79
220,Samara, Habitacion privada , Apartamento ,5,1,1,51
221,QueposManuel Antonio, Habitacion privada , B&B ,2,1,1,93
222,Rio Segundo, Habitacion privada , B&B ,16,1,8,47
223,San Jose, Habitacion privada , Apartamento ,1,1,1.5,13
224,, Habitacion privada , Apartamento ,1,1,1,19
225,Santa Teresa Beach, Habitacion privada , Otros ,2,1,1,47
226,Santa Teresa Beach, Habitacion privada , Casa ,2,1,1,28
227,San Ramon de Tres Rios, Habitacion privada , Casa ,1,1,5,23
228,San Antonio de Belen, Habitacion privada , B&B ,2,1,1.5,26
229,Puerto Jimenez, Habitacion privada , Bungalow ,2,1,1,233
230,San Jose, Habitacion privada , Otros ,2,1,1,42
231,Quepos, Habitacion privada , Apartamento ,2,1,1,65
232,Agujitas de Drake, Habitacion privada , Caba̱a ,4,1,1,61
233,Montezuma de Cobano, Habitacion privada , B&B ,2,1,1,93
