"","pccdd","p","pcc","ndstrelct02","ndistadm","njuntas02","inscr02","pindob02","pmvlb02","prscnc02","prnvct02","pcmb202","palznc02","pintnl02","ppusc02","ppac02","pptrnl02","pfrzdm02","pungnr02","ppln02","pvalid02","pnulos02","pblanc02","precib02","pabst02","dindob02","dunagc02","dmvlb02","drscnc02","dcnvnl02","dagrnl02","drnvct02","daclba02","dcmb202","dalznc02","dintnl02","dpusc02","dpac02","dptrnl02","dfrzdm02","dfrgrc02","dungnr02","dpln02","dvalid02","dnulos02","dblanc02","drecib02","dabst02","rindob02","rhmnmto02","rgtind02","rophmsj02","ryntscz02","rmvlb02","rrscnc02","ralpsjo02","rhmnvrdh02","rcrrsxi02","rdelsol02","rcnvnl02","rautsrp02","rnvcorr02","rhmecbr02","raccqup02","rindblm02","raccglft02","ragrnl02","rrnvct02","raclba02","rcmb202","rgrbecl02","rintnl02","raccsiqi02","rautpr02","rpusc02","rpac02","raljnva02","rptrnl02","rfrzdm02","rfrgrc02","rungnr02","rpln02","rcnclmn02","rvalid02","rnulos02","rblanc02","rrecib02","rabst02","distrito","nddee2006","njuntas06","inscr06","precib06","pvalid06","pclizu06","pintnl06","prnvct06","ppac06","punptr06","ppusc06","paldm06","ppln06","pptrpr06","pmvlb06","prscnc06","pfrzdm06","punacl06","punpcm06","pnulos06","pblanc06","pabst06","drecib06","dvalid06","dclizu06","dacsex06","dintnl06","drnvct06","dpac06","dnvlgf06","dunptr06","daclba06","dintpr06","dpusc06","dauthr06","dmvtrc06","daldm06","dpln06","drstnc06","dframp06","dptrpr06","dmvlb06","dacdml06","dfrgrc06","dunagc06","dgtind06","dautrc06","dfrzdm06","dunacl06","dunpcm06","dvrdec06","dnulos06","dblanc06","dabst06","rrecib06","rvalid06","rfrzcmds06","rclizu06","rintnl06","rrnvct06","rpac06","rmrvpgr06","rnvlgf06","runptr06","raclba06","rgchacc06","raccqup06","rautplr06","rintpr06","rpusc06","rauthr06","ryntscz06","rmvtrcm06","rhmnhd06","rdelsol06","raldm06","rpln06","rrstnclt06","rframp06","rptrpr06","rmvlb06","racdml06","rfrgrc06","rcrrsxi06","rgrbecl06","runagc06","raljnva06","rhmnmto06","rorglbag06","ralpsjo06","rindblm06","rgtind06","raccsiqi06","rautorm06","rautlbcr06","rautrc06","rcmnprcr06","rfrzdm06","rpntcmmr06","rautsrp06","runacl06","runnplm06","runpcm06","rvrdecl06","rnulos06","rblanc06","rabst06","njuntas10","ndistelect10","inscr10","precib10","pvalid10","ppusc10","pintnl10","palzptr10","prnvct10","pframp10","ppln10","pmvlb10","ppac10","pacsex10","pnulos10","pblanc10","pabst10","drecib10","dvalid10","dpusc10","dfrzfma10","dintnl10","dvrdec10","dalzptr10","drnvct10","dframp10","dpln10","dunagc10","drstalj10","dmvlb10","drstnc10","dmvtrc10","dalznyr10","dpac10","dtrncrt10","drsthrd10","dacsex10","dnulos10","dblanc10","dabst10","rrecib10","rvalid10","rpusc10","rcmnprcr10","rcrrsxi10","rtrrzprm10","rintnl10","rcvtbft10","rgchacc10","rvrdecl10","rtlmund10","ralzptr10","rrnvalj10","rpntcmmr10","runnplm10","rrnvct10","rclcmoun10","rframp10","rorglbag10","rclcalsc10","rvvbnair10","raccnrj10","rpln10","rgrbecl10","runagcl10","rclcbrbun10","rclcppar10","rrstalj10","rmvlb10","rrstncl10","rautorm10","rautlbcr10","rmvavsd10","raccsoqi10","raccqup10","rmvtrcm10","runcabg10","runnatn10","rorgscac10","rdelsol10","rclcbrb10","rclchdun10","ralzmyr10","rindblm10","rclcalj10","rpac10","rclclgrm10","rintbrb10","rrsthda10","raccsex10","ryntscz10","rclcfrpp10","rnulos10","rblanc10","rabst10","juntas14","inscr14","pvotosrecibidos14","pvalid14","ppase14","ppac14","ppan14","pde_los_trabajadores14","pfa14","ppin14","ppln14","pml14","ppng14","pppn14","pprc14","pprn14","ppusc14","pnulos14","pblancos14","pabs14","dvotosrecibidos14","dvotosvalidos14","dpase14","dpac14","dpadc14","dpap14","dpan14","dde_los_trabajadores14","dde_los_transportistas14","dfa14","dpin14","dpln14","dml14","dpng14","dnps14","dppid14","dppid_puntarenas14","dppn14","dprc14","dprn14","dpusc14","dverde14","dviviapuntarenas14","dnulos14","dblancos14","dabstencionismo14"
"132",20114,2,201,4,"San Miguel de Sarapiquí",5,1208,0,14,1,16,1,0,2,295,151,1,3,1,295,780,18,8,806,402,1,NA,25,0,NA,NA,28,97,3,1,3,222,106,1,6,NA,2,270,765,27,13,805,403,2,NA,NA,NA,NA,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,166,2,NA,6,NA,NA,204,78,NA,NA,5,NA,NA,255,NA,763,25,18,806,402,"San Miguel de Sarapiquí",4,4,1382,822,793,0,1,2,271,3,38,2,384,8,47,1,1,20,15,18,11,560,818,787,1,NA,0,18,206,NA,2,11,NA,62,NA,NA,21,372,NA,NA,8,38,14,NA,NA,NA,NA,1,18,15,NA,20,11,564,822,787,NA,0,1,19,193,NA,NA,3,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,55,364,NA,NA,6,36,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,21,NA,20,15,560,6,4,1566,1058,1042,47,2,3,7,9,547,186,225,16,10,6,508,1058,1034,74,3,3,NA,27,34,15,491,NA,19,143,NA,NA,NA,178,NA,NA,47,9,15,508,1058,1023,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,142,NA,NA,NA,28,NA,NA,18,17,508,6,1776,1171,1146,12,304,1,3,173,1,355,164,1,12,11,16,93,25,0,605,1170,1153,130,211,NA,0,15,5,NA,138,2,348,90,5,NA,NA,NA,23,35,35,116,NA,NA,13,4,606
"133",20201,2,202,1,"San Ramón",32,12689,5,112,5,41,24,1,40,3434,3064,3,24,17,2650,9420,111,37,9568,3121,10,NA,543,23,NA,NA,413,125,33,17,844,2304,2593,24,298,NA,14,2067,9308,135,123,9566,3123,20,NA,NA,NA,NA,272,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1241,187,70,NA,305,NA,NA,2382,2255,NA,NA,193,NA,NA,2305,NA,9261,127,177,9565,3124,"San Ramón",1,1,13334,9743,9606,11,17,60,5578,4,203,40,2944,57,356,15,19,155,147,115,22,3591,9736,9504,32,NA,54,866,2799,NA,36,138,NA,531,NA,NA,184,2841,NA,NA,141,409,1115,NA,NA,NA,NA,100,156,102,NA,172,60,3598,9739,9459,NA,39,49,632,3265,NA,NA,47,268,NA,NA,NA,NA,702,NA,NA,NA,NA,NA,139,3061,NA,NA,NA,372,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,202,NA,130,NA,186,94,3595,27,1,13065,9887,9743,201,8,15,63,29,3925,1184,4196,122,112,32,3178,9885,9705,433,20,45,NA,507,1339,227,3054,NA,30,664,NA,NA,NA,2826,NA,NA,560,104,76,3180,9886,9675,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1167,NA,NA,NA,NA,NA,NA,3115,NA,NA,NA,NA,35,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2485,1150,NA,NA,520,NA,NA,122,89,3179,24,13093,10206,10102,20,4157,4,18,2628,7,2258,392,15,251,43,45,264,94,10,2887,10201,10069,159,4224,NA,38,16,73,NA,1842,22,1647,523,88,NA,NA,NA,682,203,191,361,NA,NA,90,42,2892
"134",20202,2,202,3,"Santiago",7,2213,3,22,1,7,6,0,4,425,497,0,13,6,556,1540,31,9,1580,633,3,NA,67,5,NA,NA,28,149,8,3,57,261,388,3,53,NA,3,478,1506,36,37,1579,634,2,NA,NA,NA,NA,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,118,5,NA,19,NA,NA,251,396,NA,NA,73,NA,NA,532,NA,1503,30,46,1579,634,"Santiago",3,3,2535,1800,1735,1,4,5,953,3,13,8,556,26,80,2,5,53,26,52,13,735,1800,1727,3,NA,3,54,506,NA,6,93,NA,50,NA,NA,23,500,NA,NA,23,96,242,NA,NA,NA,NA,21,93,14,NA,49,24,735,1800,1723,NA,7,13,36,463,NA,NA,12,95,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,22,500,NA,NA,NA,150,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,261,NA,21,NA,53,24,735,8,5,2914,2174,2129,27,1,1,13,9,981,281,788,28,28,17,740,2174,2109,62,2,6,NA,114,95,27,919,NA,5,172,NA,NA,NA,585,NA,NA,122,30,35,740,2174,2095,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,908,NA,NA,NA,NA,5,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,227,NA,NA,128,NA,NA,28,51,740,8,3258,2453,2400,8,784,2,8,619,2,659,102,6,97,12,16,85,44,9,805,2452,2393,35,748,NA,20,2,10,NA,439,1,586,130,20,NA,NA,NA,183,54,50,115,NA,NA,33,26,806
"135",20203,2,202,1,"San Juan",17,6606,3,76,1,44,14,3,22,1681,1446,5,13,16,1154,4478,80,21,4579,2027,5,NA,333,9,NA,NA,232,193,16,8,210,1236,1110,12,119,NA,4,948,4435,71,71,4577,2029,10,NA,NA,NA,NA,185,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413,274,21,NA,113,NA,NA,1212,973,NA,NA,111,NA,NA,1084,NA,4413,70,106,4589,2017,"San Juan",2,2,7552,4994,4878,7,9,49,2884,3,86,23,1423,54,210,3,7,53,67,93,23,2558,4993,4826,15,NA,30,376,1498,NA,15,113,NA,222,NA,NA,97,1392,NA,NA,53,218,600,NA,NA,NA,NA,38,109,50,NA,112,55,2559,4993,4793,NA,18,29,342,1517,NA,NA,13,191,NA,NA,NA,NA,247,NA,NA,NA,NA,NA,277,1432,NA,NA,NA,194,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,185,NA,59,NA,129,71,2559,18,2,8195,5799,5705,142,2,11,42,18,2205,988,2199,98,75,19,2396,5799,5671,239,17,22,NA,239,628,121,1746,NA,33,635,NA,NA,NA,1530,NA,NA,461,70,58,2396,5799,5649,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589,NA,NA,NA,NA,NA,NA,1631,NA,NA,NA,NA,23,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1261,939,NA,NA,358,NA,NA,82,68,2396,18,8855,6262,6165,21,2346,12,11,1681,6,1282,345,19,135,24,52,231,81,16,2593,6262,6133,149,2345,NA,24,11,44,NA,1157,10,1006,433,32,NA,NA,NA,302,160,150,310,NA,NA,78,51,2593
"136",20204,2,202,5,"Piedades Norte",9,2636,2,36,2,4,4,4,3,707,429,1,4,1,733,1930,47,11,1988,648,5,NA,69,1,NA,NA,44,177,4,4,53,522,323,4,54,NA,1,623,1884,47,57,1988,648,9,NA,NA,NA,NA,36,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,145,5,NA,29,NA,NA,543,278,NA,NA,66,NA,NA,699,NA,1891,41,56,1988,648,"Piedades Norte",5,5,3323,2339,2266,4,4,15,1159,4,35,12,801,33,140,5,4,30,20,54,19,984,2340,2242,6,NA,32,71,566,NA,11,73,NA,116,NA,NA,63,787,NA,NA,19,97,322,NA,NA,NA,NA,21,42,16,NA,62,36,983,2338,2218,NA,8,12,97,605,NA,NA,13,85,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,90,792,NA,NA,NA,90,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,74,NA,23,NA,70,50,985,11,5,4335,3249,3193,46,4,5,17,5,1210,624,1222,60,40,16,1086,3249,3155,98,9,13,NA,170,241,43,1052,NA,14,395,NA,NA,NA,915,NA,NA,205,44,50,1086,3250,3130,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,NA,NA,1024,NA,NA,NA,NA,58,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835,332,NA,NA,168,NA,NA,49,71,1085,12,5028,3656,3567,15,1103,2,13,1099,4,866,214,8,80,8,25,130,76,13,1372,3655,3554,72,1129,NA,13,12,45,NA,714,9,729,288,19,NA,NA,NA,216,63,73,172,NA,NA,65,36,1373
"137",20205,2,202,7,"Piedades Sur",10,2183,0,28,0,8,7,0,3,470,299,3,10,4,714,1546,37,9,1592,591,0,NA,49,4,NA,NA,18,167,4,3,55,337,202,4,38,NA,0,631,1512,33,46,1591,592,3,NA,NA,NA,NA,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,138,9,NA,28,NA,NA,395,183,NA,NA,30,NA,NA,650,NA,1499,32,62,1593,590,"Piedades Sur",7,7,2349,1633,1566,2,2,8,917,3,23,7,457,32,50,4,7,33,21,58,9,716,1633,1533,2,NA,2,34,326,NA,8,48,NA,75,NA,NA,20,427,NA,NA,16,38,314,NA,NA,NA,NA,22,193,8,NA,72,28,716,1633,1530,NA,3,6,16,300,NA,NA,12,42,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,16,404,NA,NA,NA,26,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,475,NA,12,NA,66,37,716,9,7,2579,1935,1894,22,0,5,15,8,637,211,968,28,29,12,644,1935,1873,57,2,5,NA,112,57,15,702,NA,11,135,NA,NA,NA,700,NA,NA,77,24,38,644,1935,1866,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,853,NA,NA,NA,NA,10,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486,223,NA,NA,53,NA,NA,26,43,644,10,2860,2123,2081,8,727,4,8,519,2,554,97,2,57,11,14,78,35,7,737,2123,2061,28,793,NA,8,1,20,NA,307,2,506,131,6,NA,NA,NA,113,22,30,94,NA,NA,29,33,737
"138",20206,2,202,4,"San Rafael",11,3669,1,32,2,16,4,2,9,953,572,3,6,1,1042,2643,70,21,2734,935,6,NA,109,7,NA,NA,83,246,7,4,108,649,391,10,39,NA,3,938,2600,76,59,2735,934,8,NA,NA,NA,NA,86,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,233,7,NA,90,NA,NA,698,308,NA,NA,25,NA,NA,977,NA,2591,63,81,2735,934,"San Rafael",4,4,4160,2833,2736,4,5,13,1484,2,52,11,914,24,126,4,4,55,38,73,24,1327,2834,2702,3,NA,10,176,654,NA,5,184,NA,178,NA,NA,28,778,NA,NA,26,94,301,NA,NA,NA,NA,16,232,17,NA,94,38,1326,2834,2678,NA,6,16,140,712,NA,NA,8,235,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,42,817,NA,NA,NA,89,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,278,NA,29,NA,112,44,1326,11,4,4886,3544,3461,97,2,5,27,9,1474,542,1273,32,69,14,1342,3544,3428,172,4,14,NA,214,344,56,1256,NA,13,342,NA,NA,NA,806,NA,NA,207,63,53,1342,3545,3436,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,NA,NA,NA,NA,NA,NA,1211,NA,NA,NA,NA,8,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734,430,NA,NA,191,NA,NA,55,54,1341,11,5454,3981,3913,13,1213,5,18,1140,6,933,252,5,94,19,61,154,55,13,1473,3981,3889,81,1031,NA,16,11,49,NA,711,20,765,422,24,NA,NA,NA,251,84,101,323,NA,NA,57,35,1473
"139",20207,2,202,2,"San Isidro",5,1662,1,14,0,3,2,0,3,354,283,1,3,2,496,1162,21,8,1191,471,0,NA,60,2,NA,NA,23,160,1,3,42,234,198,5,22,NA,2,371,1123,29,39,1191,471,3,NA,NA,NA,NA,29,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,156,3,NA,22,NA,NA,245,184,NA,NA,31,NA,NA,400,NA,1115,28,46,1189,473,"San Isidro",2,2,1903,1309,1259,5,0,6,634,1,34,13,462,19,52,1,0,13,19,39,11,594,1309,1228,2,NA,0,39,224,NA,3,104,NA,57,NA,NA,27,360,NA,NA,19,37,303,NA,NA,NA,NA,22,20,11,NA,56,25,594,1309,1230,NA,2,2,43,261,NA,NA,5,185,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,32,400,NA,NA,NA,45,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,33,NA,13,NA,55,24,594,5,2,2314,1683,1644,22,2,9,7,4,697,233,643,27,27,12,631,1683,1625,53,3,5,NA,89,70,29,601,NA,10,165,NA,NA,NA,519,NA,NA,81,27,31,631,1683,1614,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,604,NA,NA,NA,NA,6,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551,116,NA,NA,72,NA,NA,32,37,631,6,2647,1902,1862,8,607,0,5,536,2,489,110,3,29,6,16,51,34,6,745,1901,1847,41,648,NA,7,6,21,NA,327,5,380,154,9,NA,NA,NA,112,39,26,72,NA,NA,36,18,746
"140",20208,2,202,6,"Ángeles",9,2595,3,23,0,14,4,2,3,690,534,1,1,3,564,1842,39,14,1895,700,4,NA,85,0,NA,NA,63,212,3,2,41,497,403,3,36,NA,0,479,1828,34,33,1895,700,3,NA,NA,NA,NA,53,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,115,6,NA,26,NA,NA,522,361,NA,NA,19,NA,NA,630,NA,1798,41,56,1895,700,"Ángeles",7,7,3136,2204,2160,1,3,11,1319,2,40,7,593,36,89,6,8,21,24,31,13,932,2216,2118,2,NA,6,133,590,NA,10,187,NA,150,NA,NA,38,553,NA,NA,35,62,273,NA,NA,NA,NA,24,36,19,NA,70,28,920,2216,2103,NA,4,17,94,685,NA,NA,26,213,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,49,541,NA,NA,NA,69,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,63,NA,26,NA,65,48,920,11,7,4412,3233,3155,81,1,5,24,7,1060,592,1352,33,63,15,1179,3234,3131,213,47,11,NA,261,197,40,850,NA,31,374,NA,NA,NA,950,NA,NA,157,62,41,1178,3231,3118,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,764,NA,NA,NA,NA,26,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835,584,NA,NA,133,NA,NA,63,50,1181,12,5250,3761,3665,13,1000,12,17,1176,2,776,272,6,180,16,59,136,80,16,1489,3761,3663,94,1081,NA,19,12,53,NA,685,10,700,242,15,NA,NA,NA,377,90,107,178,NA,NA,71,27,1489
"141",20209,2,202,3,"Alfaro",7,2079,2,21,1,2,3,2,12,539,400,4,5,5,462,1458,44,10,1512,567,2,NA,79,0,NA,NA,38,67,3,2,92,372,329,4,57,NA,2,380,1427,36,49,1512,567,2,NA,NA,NA,NA,52,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,61,3,NA,51,NA,NA,467,271,NA,NA,49,NA,NA,410,NA,1430,35,47,1512,567,"Alfaro",3,3,2593,1749,1687,4,5,7,961,1,39,8,484,24,70,5,2,41,36,45,17,844,1749,1672,3,NA,5,90,400,NA,8,40,NA,130,NA,NA,24,408,NA,NA,25,62,400,NA,NA,NA,NA,18,34,25,NA,50,27,844,1749,1646,NA,4,11,89,420,NA,NA,8,58,NA,NA,NA,NA,235,NA,NA,NA,NA,NA,14,443,NA,NA,NA,52,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,42,NA,107,NA,64,39,844,8,3,3129,2255,2205,59,1,4,23,10,842,318,916,32,35,15,874,2255,2181,112,4,16,NA,106,166,27,770,NA,11,194,NA,NA,NA,665,NA,NA,110,34,40,874,2255,2172,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,777,NA,NA,NA,NA,8,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551,182,NA,NA,124,NA,NA,40,43,874,9,3599,2525,2492,8,871,6,12,782,1,506,104,10,73,16,21,82,27,6,1074,2525,2478,50,845,NA,9,11,29,NA,466,11,480,150,17,NA,NA,NA,151,91,47,121,NA,NA,23,24,1074
"142",20210,2,202,2,"Volio",3,951,0,20,1,1,3,0,2,190,170,0,2,1,262,652,18,3,673,278,0,NA,31,8,NA,NA,10,103,3,0,20,113,119,0,10,NA,0,215,632,19,22,673,278,1,NA,NA,NA,NA,20,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,87,2,NA,11,NA,NA,119,116,NA,NA,8,NA,NA,246,NA,642,15,17,674,277,"Volio",2,2,1086,747,731,0,5,3,376,0,5,3,268,8,40,0,1,15,7,12,4,339,747,718,2,NA,3,32,163,NA,0,33,NA,25,NA,NA,14,218,NA,NA,7,31,147,NA,NA,NA,NA,7,28,8,NA,21,8,339,746,710,NA,1,7,27,173,NA,NA,3,33,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,19,252,NA,NA,NA,27,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,48,NA,2,NA,24,12,340,3,2,1275,932,914,21,1,4,4,1,400,165,304,14,12,6,343,932,904,39,4,2,NA,31,41,10,340,NA,4,134,NA,NA,NA,239,NA,NA,60,12,16,343,932,906,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,355,NA,NA,NA,NA,1,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,83,NA,NA,53,NA,NA,9,17,343,4,1516,1060,1040,7,305,5,3,291,2,260,78,5,22,3,8,51,18,2,456,1061,1039,37,300,NA,6,4,9,NA,199,3,231,106,8,NA,NA,NA,45,20,16,55,NA,NA,13,9,455
"143",20211,2,202,1,"Concepción",3,1083,1,15,0,4,3,5,3,200,229,0,3,2,319,784,18,6,808,275,2,NA,32,0,NA,NA,7,228,2,3,43,107,80,5,27,NA,2,230,768,23,17,808,275,2,NA,NA,NA,NA,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,222,8,NA,15,NA,NA,102,79,NA,NA,41,NA,NA,239,NA,747,28,33,808,275,"Concepción",1,1,1261,923,888,0,3,5,496,0,6,1,292,22,36,3,6,7,11,26,9,338,923,869,2,NA,3,26,159,NA,0,46,NA,22,NA,NA,3,288,NA,NA,8,29,269,NA,NA,NA,NA,7,5,2,NA,36,18,338,924,849,NA,1,5,21,149,NA,NA,3,57,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,10,283,NA,NA,NA,21,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,14,NA,3,NA,47,28,337,3,1,1459,1082,1060,16,0,9,11,2,435,215,343,29,17,5,377,1082,1045,61,1,4,NA,121,65,14,344,NA,4,128,NA,NA,NA,239,NA,NA,64,11,26,377,1082,1037,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,308,NA,NA,NA,NA,4,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,327,NA,NA,48,NA,NA,12,33,377,3,1605,1149,1122,7,306,1,7,357,4,262,90,2,40,5,6,35,22,5,456,1150,1110,34,325,NA,7,7,14,NA,192,4,226,159,3,NA,NA,NA,68,13,20,38,NA,NA,19,21,455
"144",20212,2,202,3,"Zapotal",3,342,0,1,0,0,0,0,1,113,41,0,1,0,47,204,4,2,210,132,0,NA,10,0,NA,NA,0,3,2,1,10,81,32,0,2,NA,0,44,185,6,19,210,132,0,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,NA,1,NA,NA,97,29,NA,NA,1,NA,NA,47,NA,180,1,29,210,132,"Zapotal",3,3,342,218,210,0,0,1,128,0,6,2,59,2,7,1,0,1,3,6,2,124,218,206,0,NA,3,1,67,NA,2,3,NA,13,NA,NA,1,98,NA,NA,2,7,5,NA,NA,NA,NA,1,1,2,NA,7,5,124,218,204,NA,0,1,0,79,NA,NA,0,2,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,5,83,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,8,NA,2,NA,5,9,124,3,3,303,223,215,8,0,1,0,0,101,40,64,1,6,2,80,223,211,9,1,1,NA,4,3,0,112,NA,3,18,NA,NA,NA,58,NA,NA,2,3,9,80,223,210,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,4,NA,NA,5,NA,NA,2,11,80,3,290,213,209,1,34,0,1,35,1,111,16,0,2,0,0,8,3,1,77,213,205,2,43,NA,0,0,2,NA,10,0,104,13,1,NA,NA,NA,5,0,2,23,NA,NA,5,3,77
