"","p","pcc","pccdd","distrito","juntas14","inscr14","pvotosrecibidos14","pvalid14","ppase14","ppac14","ppan14","pde_los_trabajadores14","pfa14","ppin14","ppln14","pml14","ppng14","pppn14","pprc14","pprn14","ppusc14","pnulos14","pblancos14","pabs14","dvotosrecibidos14","dvotosvalidos14","dpase14","dpac14","dpadc14","dpap14","dpan14","dde_los_trabajadores14","dde_los_transportistas14","dfa14","dpin14","dpln14","dml14","dpng14","dnps14","dppid14","dppid_puntarenas14","dppn14","dprc14","dprn14","dpusc14","dverde14","dviviapuntarenas14","dnulos14","dblancos14","dabstencionismo14"
"232",2,215,21502,"Buenavista",3,951,614,588,4,65,2,1,169,3,177,92,2,0,21,14,38,20,6,337,611,587,30,69,NA,3,2,16,NA,109,1,147,35,12,NA,NA,NA,8,18,35,102,NA,NA,16,8,340
"233",2,215,21503,"Cote",1,521,349,341,0,32,0,1,71,0,162,28,0,1,1,11,34,6,2,172,349,339,1,29,NA,2,6,0,NA,40,1,137,16,0,NA,NA,NA,7,5,9,86,NA,NA,3,7,172
"234",2,215,21504,"Katira",8,3287,2155,2080,10,241,2,2,296,3,999,361,6,12,26,33,89,65,10,1132,2154,2065,86,199,NA,10,62,14,NA,194,10,874,207,6,NA,NA,NA,31,67,72,233,NA,NA,65,24,1133
"235",3,301,30101,"Oriental",25,13434,10655,10549,25,4690,32,5,1237,11,2886,820,26,280,15,53,469,92,14,2779,10657,10514,325,3413,893,NA,133,32,NA,1120,21,2587,726,81,NA,NA,NA,287,77,208,509,102,NA,105,38,2777
"236",3,301,30102,"Occidental",19,9809,7840,7747,26,3512,13,20,895,10,2022,663,29,136,12,40,369,83,10,1969,7840,7723,283,2491,837,NA,58,36,NA,775,14,1779,510,87,NA,NA,NA,161,48,156,381,107,NA,83,34,1969
"237",3,301,30103,"Carmen",24,12616,9717,9549,47,3857,21,22,1300,21,2547,943,39,191,19,53,489,142,26,2899,9717,9536,465,2505,1568,NA,82,50,NA,1063,28,2151,587,67,NA,NA,NA,171,84,156,507,52,NA,141,40,2899
"238",3,301,30104,"San Nícolas",34,17515,13065,12746,86,4398,25,25,1783,20,3746,1564,29,262,44,119,645,287,32,4450,13065,12757,681,2879,2002,NA,77,51,NA,1230,46,3111,1082,73,NA,NA,NA,264,155,295,723,88,NA,253,55,4450
"239",3,301,30105,"Agua Caliente o San Francisco",44,22830,17362,16936,127,6122,38,73,2328,30,4010,2498,71,315,34,229,1061,363,63,5468,17362,16901,678,3628,4496,NA,105,95,NA,1553,50,2903,1115,93,NA,NA,NA,276,205,515,1084,105,NA,365,96,5468
"240",3,301,30106,"Guadalupe",20,10904,8646,8468,48,3324,14,26,1068,11,2315,944,41,130,16,81,450,151,27,2258,8646,8436,405,2152,1412,NA,66,48,NA,752,26,1878,670,73,NA,NA,NA,124,78,234,460,58,NA,156,54,2258
"241",3,301,30107,"Corralillo",18,7871,5946,5841,43,1273,11,13,1340,7,2541,287,10,93,19,24,180,82,23,1925,5946,5802,940,738,349,NA,25,17,NA,784,29,2345,142,26,NA,NA,NA,121,64,75,135,12,NA,93,51,1925
"242",3,301,30108,"Tierra Blanca",8,4218,3224,3114,38,1187,9,17,287,7,842,382,13,95,10,13,214,96,14,994,3224,3111,199,871,208,NA,25,30,NA,232,13,799,320,13,NA,NA,NA,82,23,41,245,10,NA,76,37,994
"243",3,301,30109,"Dulce Nombre",15,7238,5735,5618,43,2231,14,23,772,11,1361,583,35,136,15,27,367,99,18,1503,5734,5628,430,1482,814,NA,34,36,NA,559,13,1117,330,40,NA,NA,NA,130,60,140,410,33,NA,78,28,1504
"244",3,301,30110,"Llano Grande",6,3096,2132,2061,14,563,3,6,179,2,611,385,7,177,2,6,106,61,10,964,2132,2065,96,383,493,NA,7,13,NA,106,11,489,189,9,NA,NA,NA,105,16,25,106,17,NA,46,21,964
"245",3,301,30111,"Quebradilla",8,3932,2638,2561,20,736,4,4,273,7,828,428,7,26,8,26,194,63,14,1294,2637,2534,129,539,204,NA,13,14,NA,154,9,809,272,14,NA,NA,NA,52,65,51,197,12,NA,63,40,1295
"246",3,302,30201,"Paraíso",34,17937,13866,13579,51,5062,12,29,2290,17,3270,1143,44,711,20,78,852,258,29,4071,13865,13525,357,2495,420,NA,33,43,NA,1553,45,2173,516,633,NA,NA,NA,464,122,202,4428,41,NA,256,84,4072
"247",3,302,30202,"Santiago",9,3649,2658,2568,10,572,2,0,342,3,892,261,9,180,10,78,209,83,7,991,2658,2590,73,312,40,NA,9,11,NA,183,7,680,128,15,NA,NA,NA,151,30,141,796,14,NA,54,14,991
"248",3,302,30203,"Orosi",15,6795,5011,4801,32,1470,4,5,874,8,1106,690,10,92,12,27,471,195,15,1784,5011,4820,173,726,119,NA,13,19,NA,455,13,742,322,32,NA,NA,NA,89,53,52,1991,21,NA,153,38,1784
"249",3,302,30204,"Cachi",10,4325,3261,3163,16,974,4,8,702,3,761,272,7,109,10,21,276,91,7,1064,3267,3168,133,655,74,NA,16,27,NA,472,7,661,157,23,NA,NA,NA,129,37,74,693,10,NA,74,25,1058
"250",3,302,30205,"Llanos de Santa Lucía",19,10294,7383,7130,61,1869,14,33,1151,9,1679,1424,17,254,28,99,492,229,24,2911,7383,7144,449,1070,684,NA,24,46,NA,794,17,1209,723,81,NA,NA,NA,199,75,256,1450,67,NA,198,41,2911
"251",3,303,30301,"Tres Ríos",20,10881,8407,8278,38,3595,14,16,1011,20,2168,705,29,172,33,79,398,120,9,2474,8402,8282,335,2601,179,NA,27,37,NA,847,42,2294,593,98,NA,NA,NA,188,237,239,426,139,NA,88,32,2479
"252",3,303,30302,"San Diego",23,12434,8581,8446,59,3251,27,19,1268,17,1937,1035,30,113,61,87,542,121,14,3853,8579,8422,414,2217,340,NA,45,51,NA,944,57,1752,696,77,NA,NA,NA,136,523,274,570,326,NA,126,31,3855
"253",3,303,30303,"San Juan",16,7896,6179,6134,12,2854,10,12,764,10,1481,569,28,78,12,68,236,40,5,1717,6178,6103,158,2192,190,NA,29,18,NA,715,26,1343,521,75,NA,NA,NA,122,173,229,277,35,NA,55,20,1718
"254",3,303,30304,"San Rafael",15,7974,5679,5567,48,2086,13,21,667,10,1481,767,18,81,36,42,297,97,15,2295,5679,5552,264,1397,626,NA,18,35,NA,525,19,1362,483,53,NA,NA,NA,107,162,144,305,52,NA,98,29,2295
"255",3,303,30305,"Concepción",21,10861,7883,7725,47,3076,16,25,1138,21,1781,971,20,146,28,81,375,139,19,2978,7882,7716,337,2218,714,NA,41,37,NA,922,48,1524,685,68,NA,NA,NA,160,191,268,401,102,NA,128,38,2979
"256",3,303,30306,"Dulce Nombre",11,5658,3844,3769,32,1254,6,14,433,12,997,553,17,49,26,37,339,69,6,1814,3844,3763,210,943,198,NA,17,28,NA,320,27,926,386,36,NA,NA,NA,46,92,103,387,44,NA,63,18,1814
"257",3,303,30307,"San Ramón",6,3225,2346,2322,5,1086,4,3,279,4,481,308,6,33,8,25,80,23,1,879,2346,2309,71,811,63,NA,6,15,NA,270,10,452,282,34,NA,NA,NA,43,72,84,86,10,NA,27,10,879
"258",3,303,30308,"Río Azul",10,5512,3308,3174,26,849,2,14,482,30,868,538,10,33,21,63,238,128,6,2204,3307,3183,221,538,65,NA,18,37,NA,330,430,663,268,12,NA,NA,NA,36,120,217,220,8,NA,101,23,2205
"259",3,304,30401,"Juan Viñas",14,5246,3839,3759,49,876,8,12,587,10,1478,419,34,47,17,33,189,66,14,1407,3839,3740,214,693,127,NA,19,21,NA,451,13,1344,338,34,NA,NA,NA,63,68,94,231,30,NA,74,25,1407
"260",3,304,30402,"Tucurrique",8,3441,2416,2309,25,508,3,8,569,8,592,268,5,23,15,16,269,91,16,1025,2417,2311,96,311,62,NA,5,11,NA,353,17,479,118,11,NA,NA,NA,20,55,43,723,7,NA,75,31,1024
"261",3,304,30403,"Pejibaye",7,2621,1840,1784,11,407,2,8,425,3,648,145,3,15,14,11,92,50,6,781,1840,1769,83,329,23,NA,1,14,NA,307,4,646,92,5,NA,NA,NA,24,83,24,126,8,NA,49,22,781
"262",3,305,30501,"Turrialba",47,21637,15603,15312,61,5116,26,41,3052,24,4653,958,45,141,63,125,1007,249,42,6034,15601,15247,364,3828,350,NA,37,83,NA,2382,81,5052,675,77,NA,NA,NA,181,180,320,1543,94,NA,249,105,6036
"263",3,305,30502,"La Suiza",16,6532,4498,4368,30,1022,16,15,903,7,1492,428,19,40,29,26,341,110,20,2034,4498,4350,133,667,235,NA,26,29,NA,593,24,1386,262,13,NA,NA,NA,41,49,71,803,18,NA,96,52,2034
"264",3,305,30503,"Peralta",1,315,202,198,1,7,1,0,33,0,63,21,1,1,1,0,69,3,1,113,202,197,1,3,4,NA,0,1,NA,8,0,34,4,0,NA,NA,NA,1,2,3,136,0,NA,5,0,113
"265",3,305,30504,"Santa Cruz",9,2548,1584,1526,15,411,2,7,261,0,555,175,2,8,4,5,81,44,14,964,1584,1524,97,361,39,NA,4,9,NA,168,10,570,115,5,NA,NA,NA,19,5,12,101,9,NA,34,26,964
"266",3,305,30505,"Santa Teresita",11,3756,2541,2461,16,387,7,11,474,1,926,396,5,16,12,18,192,67,13,1215,2541,2451,68,355,18,NA,11,13,NA,373,11,951,257,8,NA,NA,NA,33,20,50,275,8,NA,66,24,1215
"267",3,305,30506,"Pavones",7,3412,2173,2091,17,582,6,6,341,5,629,237,6,22,16,34,190,68,14,1239,2173,2095,85,484,53,NA,4,22,NA,228,10,633,154,1,NA,NA,NA,33,45,54,249,40,NA,53,25,1239
"268",3,305,30507,"Tuis",6,1764,1173,1150,6,329,2,5,166,5,416,102,11,15,10,6,77,21,2,591,1173,1139,33,237,58,NA,3,8,NA,101,3,398,61,7,NA,NA,NA,20,20,18,158,14,NA,15,19,591
"269",3,305,30508,"Tayutic",5,1709,1105,1084,13,272,3,5,184,0,402,91,3,10,5,6,90,15,6,604,1105,1069,56,191,14,NA,3,6,NA,113,4,400,54,2,NA,NA,NA,21,14,17,165,9,NA,23,13,604
"270",3,305,30509,"Santa Rosa",8,4089,2899,2831,14,861,4,5,491,5,957,248,5,31,8,19,183,56,12,1190,2899,2831,95,643,71,NA,3,8,NA,357,18,1065,164,16,NA,NA,NA,38,15,49,276,13,NA,47,21,1190
"271",3,305,30510,"Tres Equis",3,1351,831,794,7,152,2,3,123,2,256,148,2,2,9,2,86,32,5,520,831,791,26,124,12,NA,0,5,NA,88,5,313,89,2,NA,NA,NA,2,14,14,93,4,NA,23,17,520
"272",3,305,30511,"La Isabel",10,4712,3117,3032,24,733,11,13,654,2,841,292,8,23,20,54,357,74,11,1595,3117,3009,95,511,121,NA,16,22,NA,452,16,826,172,10,NA,NA,NA,32,56,94,570,16,NA,74,34,1595
"273",3,305,30512,"Chirripo",12,2829,902,850,10,59,6,3,151,4,297,106,3,7,10,19,175,47,5,1927,902,842,25,63,11,NA,7,4,NA,130,1,266,84,4,NA,NA,NA,6,23,23,192,3,NA,41,19,1927
"274",3,306,30601,"Pacayas",10,4057,2833,2753,21,948,5,6,304,4,774,430,5,78,3,8,167,68,12,1224,2833,2743,118,583,67,NA,18,20,NA,228,10,621,248,9,NA,NA,NA,156,15,29,608,13,NA,58,32,1224
"275",3,306,30602,"Cervantes",7,3857,2784,2712,8,902,7,5,380,6,741,291,11,81,10,35,235,60,12,1073,2784,2702,103,644,188,NA,18,16,NA,258,11,611,164,15,NA,NA,NA,228,28,64,337,17,NA,52,30,1073
"276",3,306,30603,"Capellades",4,1570,1122,1087,10,439,0,6,113,4,293,98,3,20,5,5,91,31,4,448,1122,1084,52,323,15,NA,2,7,NA,74,2,255,67,2,NA,NA,NA,27,5,8,231,14,NA,20,18,448
"277",3,307,30701,"Sanrafael",40,20685,15684,15374,94,6083,29,53,2077,7,3757,1930,54,356,34,112,788,282,28,5001,15680,15304,752,4300,2121,NA,98,82,NA,1617,30,3120,1173,120,NA,NA,NA,363,141,328,953,106,NA,294,82,5005
"278",3,307,30702,"Cot",13,6591,4827,4665,42,1367,9,27,582,7,1244,692,11,156,15,60,453,145,17,1764,4826,4639,212,862,221,NA,25,32,NA,425,10,1013,381,22,NA,NA,NA,115,42,142,1086,51,NA,148,39,1765
"279",3,307,30703,"Potrero Cerrado",3,1349,952,924,8,235,7,2,73,3,382,143,5,13,3,4,46,24,4,397,952,925,39,193,29,NA,8,6,NA,56,4,386,96,6,NA,NA,NA,21,8,11,57,5,NA,19,8,397
"280",3,307,30704,"Cipreses",5,2509,1738,1680,8,536,6,5,185,1,593,210,12,54,2,6,62,45,13,771,1739,1671,85,383,279,NA,6,10,NA,117,3,477,126,4,NA,NA,NA,43,5,20,81,32,NA,56,12,770
"281",3,307,30705,"Santa Rosa",5,2227,1443,1400,7,310,3,4,194,3,472,210,3,69,1,7,117,36,7,784,1443,1391,66,252,119,NA,19,12,NA,131,5,434,123,2,NA,NA,NA,71,4,16,131,6,NA,34,18,784
"282",3,308,30801,"El Tejar",34,17510,13625,13349,71,5251,18,29,1711,15,3719,1370,44,195,34,140,752,250,26,3885,13618,13325,629,3712,1572,NA,53,61,NA,1616,33,3037,878,80,NA,NA,NA,256,191,323,817,67,NA,230,63,3892
"283",3,308,30802,"San Isidro",16,7508,5643,5472,52,1368,11,19,611,4,1962,730,25,137,14,43,496,141,30,1865,5644,5448,233,854,861,NA,17,24,NA,837,19,1512,376,22,NA,NA,NA,113,31,93,399,57,NA,130,66,1864
"284",3,308,30803,"Tobosi",10,4864,3506,3407,21,871,6,12,417,8,1080,501,16,38,11,36,390,79,20,1358,3504,3384,254,501,222,NA,13,17,NA,381,34,1067,233,21,NA,NA,NA,105,81,86,328,41,NA,67,53,1360
"285",3,308,30804,"Patio de Agua",2,392,286,275,0,42,2,0,45,1,148,19,0,2,3,0,13,11,0,106,286,273,16,28,6,NA,5,0,NA,32,0,152,12,1,NA,NA,NA,0,2,6,12,1,NA,7,6,106
"286",4,401,40101,"Heredia",34,17748,13195,13080,20,5480,12,16,2196,8,3491,907,32,212,21,106,579,100,15,4553,13186,13017,360,4798,NA,NA,60,63,NA,1800,35,3198,795,126,19,NA,NA,303,176,472,812,NA,NA,121,48,4562
"287",4,401,40102,"Mercedes",37,19971,15552,15390,48,7070,19,26,2450,9,3726,1099,54,223,14,74,578,143,19,4419,15549,15373,521,6106,NA,NA,70,75,NA,1995,37,3428,998,214,14,NA,NA,301,241,519,854,NA,NA,134,42,4422
"288",4,401,40103,"San Francisco",62,34260,23879,23509,110,8772,40,89,3769,19,5835,3000,90,267,89,334,1095,334,36,10381,23878,23482,932,7072,NA,NA,151,272,NA,3113,86,4921,2273,242,34,NA,NA,405,799,1529,1653,NA,NA,310,86,10382
"289",4,401,40104,"Ulloa",35,18095,13205,13034,50,4952,21,37,1923,14,3594,1373,53,142,47,165,663,155,16,4890,13204,13012,489,4009,NA,NA,60,93,NA,1638,40,3124,1135,178,19,NA,NA,212,373,664,978,NA,NA,144,48,4891
"290",4,401,40105,"Varablanca",2,526,345,338,1,74,0,1,50,0,108,33,1,0,1,1,68,5,2,181,345,341,4,45,NA,NA,1,2,NA,12,0,102,6,0,1,NA,NA,1,14,10,143,NA,NA,4,0,181
"291",4,402,40201,"Barva",11,5816,4528,4471,11,1783,9,8,937,2,1125,269,10,53,11,39,214,51,6,1288,4524,4465,128,1464,NA,NA,46,16,NA,863,13,940,240,45,9,NA,NA,65,81,208,347,NA,NA,44,15,1292
"292",4,402,40202,"San Pedro",14,7549,5373,5279,19,2099,16,11,977,7,1242,498,16,57,11,78,248,79,15,2176,5372,5277,299,1768,NA,NA,37,30,NA,789,16,1069,380,31,5,NA,NA,83,139,288,343,NA,NA,75,20,2177
"293",4,402,40203,"San Pablo",10,5187,3968,3908,18,1615,9,5,731,6,926,298,11,36,15,48,190,55,5,1219,3968,3903,170,1271,NA,NA,30,20,NA,659,16,781,262,40,7,NA,NA,56,104,221,266,NA,NA,51,14,1219
"294",4,402,40204,"San Roque",5,2597,2043,2011,10,930,1,5,306,2,449,157,5,36,4,16,90,30,2,554,2043,2020,94,779,NA,NA,18,3,NA,274,7,384,157,19,2,NA,NA,41,32,89,121,NA,NA,15,8,554
"295",4,402,40205,"Santa Lucia",9,4925,3914,3867,12,1873,6,9,590,3,836,301,13,50,2,35,137,43,4,1011,3913,3863,118,1646,NA,NA,31,17,NA,481,6,727,254,50,3,NA,NA,72,62,182,214,NA,NA,40,10,1012
"296",4,402,40206,"San José de la Montaña",10,4014,2921,2869,7,1091,8,6,468,6,804,276,5,36,7,17,138,49,3,1093,2921,2847,164,885,NA,NA,17,20,NA,371,11,687,198,17,2,NA,NA,43,118,129,185,NA,NA,59,15,1093
"297",4,403,40301,"Santo Domingo",15,7754,5999,5945,9,2600,11,8,670,7,1727,454,14,85,9,26,325,45,9,1755,6003,5931,177,2180,NA,NA,35,21,NA,556,15,1579,398,74,6,NA,NA,112,84,204,490,NA,NA,48,24,1751
"298",4,403,40302,"San Vicente",8,4061,3233,3190,12,1563,3,9,405,1,757,205,9,36,4,22,164,39,4,828,3226,3184,113,1324,NA,NA,13,11,NA,334,11,671,204,36,1,NA,NA,62,50,99,255,NA,NA,30,12,835
"299",4,403,40303,"San Miguel",10,4907,3788,3737,22,1630,3,7,438,5,849,440,16,39,21,84,183,39,12,1119,3783,3736,175,1337,NA,NA,17,23,NA,395,18,692,355,46,3,NA,NA,39,122,258,256,NA,NA,36,11,1124
"300",4,403,40304,"Paracito",4,2102,1586,1534,11,595,4,2,171,2,439,165,7,13,13,39,73,50,2,516,1582,1544,62,445,NA,NA,12,7,NA,155,6,445,122,11,1,NA,NA,18,64,114,82,NA,NA,25,13,520
"301",4,403,40305,"Santo Tomas",7,3671,2798,2757,12,1203,4,3,338,2,689,263,4,33,6,23,177,37,4,873,2800,2756,144,950,NA,NA,14,15,NA,275,5,590,224,41,4,NA,NA,38,60,112,284,NA,NA,36,8,871
"302",4,403,40306,"Santa Rosa",9,4867,3488,3422,23,1396,8,5,472,4,920,334,9,44,11,32,164,62,4,1379,3491,3437,151,1118,NA,NA,21,20,NA,381,9,852,278,29,5,NA,NA,44,101,119,309,NA,NA,41,13,1376
"303",4,403,40307,"Tures",5,2670,1922,1893,14,728,0,2,304,1,518,145,5,32,8,13,123,24,5,748,1922,1887,372,513,NA,NA,10,9,NA,208,5,369,91,8,1,NA,NA,32,54,53,162,NA,NA,30,5,748
"304",4,403,40308,"Pará",5,2527,1832,1808,9,761,6,4,265,3,390,174,9,17,12,54,104,21,3,695,1832,1805,102,577,NA,NA,13,12,NA,228,9,336,146,25,0,NA,NA,29,44,150,134,NA,NA,22,5,695
"305",4,404,40401,"Santa Barbara",12,6491,4753,4671,12,1780,9,10,919,6,1154,439,13,54,11,49,215,75,7,1738,4749,4647,217,1385,NA,NA,27,18,NA,688,9,1047,445,43,12,NA,NA,62,106,269,319,NA,NA,67,35,1742
"306",4,404,40402,"San Pedro",5,2695,1929,1895,6,676,4,2,306,4,543,214,4,22,5,17,92,31,3,766,1929,1905,65,536,NA,NA,6,7,NA,238,5,543,212,10,1,NA,NA,28,30,71,153,NA,NA,15,9,766
"307",4,404,40403,"San Juan",9,4889,3629,3580,12,1501,7,9,552,5,877,335,11,55,7,31,178,44,5,1260,3629,3572,157,1288,NA,NA,21,16,NA,442,12,787,294,27,5,NA,NA,65,71,154,233,NA,NA,35,22,1260
"308",4,404,40404,"Jesús",11,5648,4008,3919,28,1376,10,8,644,3,1078,381,9,69,16,92,205,82,7,1640,4008,3905,256,1092,NA,NA,21,19,NA,484,14,921,305,37,9,NA,NA,74,97,288,288,NA,NA,82,21,1640
"309",4,404,40405,"Santo Domingo",5,2179,1524,1507,9,535,0,3,177,0,467,145,3,14,8,36,110,15,2,655,1524,1493,55,406,NA,NA,8,15,NA,140,4,402,135,8,1,NA,NA,21,33,79,186,NA,NA,27,4,655
"310",4,404,40406,"Purabá",6,2824,2031,1989,3,729,7,1,323,3,561,190,4,19,4,28,117,38,4,793,2031,1987,116,581,NA,NA,15,10,NA,243,10,522,185,6,2,NA,NA,21,51,88,137,NA,NA,31,13,793
"311",4,405,40501,"San Rafael",16,8768,6457,6376,30,2688,14,18,1192,6,1502,469,18,127,13,39,260,74,7,2311,6457,6367,245,2239,NA,NA,110,36,NA,955,19,1357,411,55,9,NA,NA,151,112,220,448,NA,NA,64,26,2311
"312",4,405,40502,"San Josécito",13,7252,4951,4867,32,1876,3,9,950,7,1174,434,13,79,12,75,203,75,9,2301,4951,4850,267,1530,NA,NA,47,31,NA,741,19,1009,310,53,6,NA,NA,145,105,305,282,NA,NA,76,25,2301
"313",4,405,40503,"Santiago",11,5277,3970,3916,17,1623,13,7,809,1,815,334,18,53,11,59,156,49,5,1307,3967,3922,157,1356,NA,NA,56,25,NA,658,9,728,248,36,9,NA,NA,74,107,232,227,NA,NA,37,8,1310
"314",4,405,40504,"Los Ángeles",15,8253,5835,5726,36,2226,12,12,971,6,1334,643,19,74,19,64,310,94,15,2418,5834,5727,280,1826,NA,NA,53,40,NA,743,21,1178,526,59,7,NA,NA,109,121,242,522,NA,NA,83,24,2419
"315",4,405,40505,"Concepción",5,2636,1866,1844,11,714,2,2,340,1,500,151,5,17,2,11,88,21,1,770,1866,1832,70,618,NA,NA,8,13,NA,267,7,445,135,25,3,NA,NA,29,25,48,139,NA,NA,23,11,770
"316",4,406,40601,"San Isidro",14,7466,5627,5562,21,2280,2,16,956,5,1485,391,20,67,17,57,245,56,9,1839,5628,5535,260,1986,NA,NA,12,38,NA,733,11,1306,327,44,6,NA,NA,91,122,226,373,NA,NA,60,33,1838
"317",4,406,40602,"San José",7,3538,2631,2601,10,1105,4,5,319,1,667,278,6,32,13,35,126,26,4,907,2631,2590,103,929,NA,NA,8,14,NA,262,5,577,276,27,1,NA,NA,44,52,110,182,NA,NA,31,10,907
"318",4,406,40603,"Concepción",4,1865,1359,1328,5,433,1,3,161,4,433,149,5,11,3,16,104,24,7,506,1359,1315,63,344,NA,NA,4,12,NA,117,3,390,114,10,2,NA,NA,18,19,38,181,NA,NA,29,15,506
"319",4,406,40604,"San Francisco",3,1634,1205,1180,9,494,1,2,219,1,276,83,9,17,7,11,51,22,3,429,1205,1182,47,446,NA,NA,5,7,NA,170,2,236,80,14,1,NA,NA,20,20,49,85,NA,NA,15,8,429
"320",4,407,40701,"San Antonio",15,7974,6086,6023,13,2209,7,8,976,3,1713,525,16,52,10,20,471,58,5,1888,6085,5987,119,1688,NA,NA,14,25,NA,740,19,1402,393,52,5,NA,NA,59,70,113,1288,NA,NA,72,26,1889
"321",4,407,40702,"La Ribera",11,5886,4471,4411,12,1580,3,8,570,4,1319,488,10,40,8,20,349,49,11,1415,4471,4419,117,1129,NA,NA,12,19,NA,400,13,1037,336,34,6,NA,NA,51,50,102,1113,NA,NA,35,17,1415
"322",4,407,40703,"Asunción",7,3406,2724,2696,8,960,2,7,235,4,797,401,6,18,1,5,252,22,6,682,2724,2691,35,703,NA,NA,6,7,NA,196,1,713,387,36,5,NA,NA,29,26,46,501,NA,NA,21,12,682
"323",4,408,40801,"San Joaquín",15,7862,6102,6047,15,2817,7,9,713,4,1526,538,27,56,14,42,279,49,6,1760,6100,6027,172,2257,NA,NA,19,27,NA,647,7,1322,453,94,5,NA,NA,97,105,201,621,NA,NA,56,17,1762
"324",4,408,40802,"Barrantes",5,2343,1966,1946,7,920,0,0,211,5,539,150,2,16,4,5,87,17,3,377,1966,1938,56,795,NA,NA,8,4,NA,172,9,509,150,19,1,NA,NA,22,24,34,135,NA,NA,12,16,377
"325",4,408,40803,"Llorente",9,4882,3573,3519,17,1349,2,6,425,5,1041,323,14,39,6,44,248,52,2,1309,3573,3515,152,1106,NA,NA,9,23,NA,334,7,901,201,30,1,NA,NA,58,55,218,420,NA,NA,43,15,1309
"326",4,409,40901,"San Pablo",28,15176,11430,11282,39,4775,18,15,1784,9,2632,839,43,132,31,96,869,130,18,3746,11430,11292,258,3439,NA,NA,64,39,NA,1221,21,2039,561,135,16,NA,NA,178,203,490,2628,NA,NA,113,25,3746
"327",4,409,40902,"Rincón de Sabanilla",10,4943,3679,3608,13,1433,5,6,608,3,841,286,15,54,26,40,278,60,11,1264,3682,3620,95,1043,NA,NA,17,15,NA,463,9,684,211,38,3,NA,NA,69,93,123,757,NA,NA,47,15,1261
"328",4,410,41001,"Puerto Viejo",23,9100,5248,5098,26,736,5,15,1083,3,1531,1231,9,35,64,102,258,118,32,3852,5249,5101,178,584,NA,NA,14,43,NA,561,12,2353,606,10,11,NA,NA,41,159,194,335,NA,NA,99,49,3851
"329",4,410,41002,"La Virgen",15,5446,3443,3359,21,635,5,5,657,5,962,572,4,28,58,191,216,72,12,2003,3444,3371,103,403,NA,NA,12,23,NA,364,10,1426,260,8,3,NA,NA,31,187,234,307,NA,NA,52,21,2002
"330",4,410,41003,"Horquetas",33,14586,9512,9214,95,1389,18,38,2796,11,2579,1238,35,75,154,347,439,263,35,5074,9511,9218,405,1326,NA,NA,43,101,NA,1505,37,3638,567,47,11,NA,NA,83,407,667,381,NA,NA,202,91,5075
"331",4,410,41004,"Llanuras del Gaspar",1,357,219,217,1,12,0,0,62,0,73,49,0,0,17,0,3,2,0,138,219,214,1,19,NA,NA,0,0,NA,38,1,108,19,0,0,NA,NA,1,21,1,5,NA,NA,3,2,138
"332",4,410,41005,"Cureña",2,278,155,152,0,27,0,0,19,0,56,32,0,2,0,0,16,3,0,123,155,153,1,19,NA,NA,1,6,NA,4,0,84,19,0,0,NA,NA,1,2,1,15,NA,NA,1,1,123
"333",5,501,50101,"Liberia",67,35159,20966,20575,90,4133,32,47,3820,19,7345,2485,46,184,276,281,1817,315,76,14193,20961,20561,417,2700,NA,NA,50,87,NA,3462,32,6067,1691,66,NA,NA,NA,227,1059,598,4105,NA,NA,299,101,14198
"334",5,501,50102,"Cañas Dulces",5,2014,1262,1225,3,161,0,4,165,1,451,137,2,4,153,13,131,32,5,752,1262,1234,22,79,NA,NA,2,5,NA,130,4,322,47,0,NA,NA,NA,12,209,15,387,NA,NA,19,9,752
"335",5,501,50103,"Mayorga",2,969,505,489,2,44,4,1,68,0,241,56,0,2,16,6,49,12,4,464,505,491,4,47,NA,NA,3,6,NA,75,1,188,25,1,NA,NA,NA,1,21,14,105,NA,NA,7,7,464
"336",5,501,50104,"Nacascolo",3,1523,823,786,3,100,1,1,144,0,307,130,4,8,6,5,77,30,7,700,823,791,13,77,NA,NA,2,0,NA,129,3,253,89,2,NA,NA,NA,7,14,6,196,NA,NA,22,10,700
"337",5,501,50105,"Curubandé",4,1580,968,948,3,116,1,4,159,0,390,152,3,5,36,6,73,17,3,612,968,945,23,63,NA,NA,0,10,NA,135,0,308,114,1,NA,NA,NA,6,66,13,206,NA,NA,16,7,612
"338",5,502,50201,"Nicoya",45,19717,13522,13178,26,1924,12,22,2597,13,5422,1727,21,128,101,125,1060,297,47,6195,13522,13093,170,1331,NA,NA,53,64,NA,2053,54,5459,1625,53,NA,NA,NA,339,302,296,1294,NA,NA,284,145,6195
"339",5,502,50202,"Mansión",12,3946,2602,2539,11,252,4,7,501,5,1136,309,2,18,38,27,229,58,5,1344,2602,2526,81,176,NA,NA,7,14,NA,374,36,1077,272,5,NA,NA,NA,24,113,51,296,NA,NA,52,24,1344
"340",5,502,50203,"San Antonio",17,5321,3687,3556,16,185,6,9,690,7,1817,455,25,21,24,24,277,113,18,1634,3685,3529,35,129,NA,NA,14,20,NA,566,14,1675,425,113,NA,NA,NA,86,78,72,302,NA,NA,92,64,1636
"341",5,502,50204,"Quebrada Honda",7,2121,1517,1476,2,127,1,3,441,2,559,159,2,1,11,10,158,34,7,604,1517,1478,27,104,NA,NA,8,10,NA,344,3,539,142,11,NA,NA,NA,23,18,36,213,NA,NA,28,11,604
